Entité;Localisation de la station;Coordonnées;Paramètres mesurés;Source;Unité de mesure;Mesure;Dernière mise à jour;Commune;EPCI;Département;Région
Alpes-Maritimes;France - Alpes-Maritimes - FR24035;43.689262,7.242083;PM2.5;EEA France;µg/m³;7.0;2020-04-28T19:00:00+02:00;Nice;Métropole Nice Côte d'Azur;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR
Seine-Maritime;France - Seine-Maritime - FR25043;49.40054,1.0988282;NO2;EEA France;µg/m³;4.0;2020-04-28T20:00:00+02:00;Sotteville-lès-Rouen;Métropole Rouen Normandie;SEINE-MARITIME;NORMANDIE
Lot-et-Garonne;France - Lot-et-Garonne - FR31040;44.508667,0.14250335;PM10;EEA France;µg/m³;1.2;2020-04-28T18:00:00+02:00;Marmande;CA Val de Garonne Agglomération;LOT-ET-GARONNE;NOUVELLE-AQUITAINE
Saône-et-Loire;France - Saône-et-Loire - FR32007;46.802216,4.4175014;NO2;EEA France;µg/m³;10.53;2018-06-26T09:00:00+02:00;Le Creusot;CU Le Creusot Montceau-les-Mines;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
Guadeloupe;France - Guadeloupe - FR37002;16.2387,-61.5381;O3;EEA France;µg/m³;40.3;2018-01-26T16:00:00+01:00;Pointe-à-Pitre;CA Cap Excellence;GUADELOUPE;GUADELOUPE
Puy-de-Dôme;France - Puy-de-Dôme - FR07045;45.544933,3.247649;NO2;EEA France;µg/m³;28.45;2017-12-20T10:00:00+01:00;Issoire;CA Pays d'Issoire;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
Nord;France - Nord - FR10028;50.981037,2.1431737;PM10;EEA France;µg/m³;10.3;2020-04-28T18:00:00+02:00;Gravelines;CU de Dunkerque;NORD;HAUTS-DE-FRANCE
Hautes-Pyrénées;France - Hautes-Pyrénées - FR12052;43.23029,0.06222199;NO2;EEA France;µg/m³;0.9;2020-04-28T19:00:00+02:00;Tarbes;CA Tarbes-Lourdes-Pyrénées;HAUTES-PYRENEES;OCCITANIE
AIR PAYS DE LOIRE;France - AIR PAYS DE LOIRE - APPENTIS;47.447403,-0.5500672;O3;EEA France;µg/m³;88.23;2017-05-25T12:00:00+02:00;Angers;CU Angers Loire Métropole;MAINE-ET-LOIRE;PAYS DE LA LOIRE
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Bethune Stade;50.535404,2.635693;PM2.5;EEA France;µg/m³;16.43;2017-07-18T22:00:00+02:00;Béthune;CA de Béthune-Bruay, Artois-Lys Romane;PAS-DE-CALAIS;HAUTS-DE-FRANCE
AIRAQ;France - AIRAQ - Biarritz-hippodrome;43.47022,-1.5538429;PM10;EEA France;µg/m³;37.0;2017-07-18T22:00:00+02:00;Biarritz;CA du Pays Basque;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
